thermal_efficiency_percent,net_specific_power_kw_per_kg
32.91580863275379,21808.637345722913
32.91940825160469,21801.625427784053
32.92247083629846,21795.565311933773
32.92895120523264,21777.976585626504
32.93244190781056,21768.113827449346
32.93674384447297,21766.157253323923
32.93755806176107,21765.13442900559
32.940082136214095,21758.785857122475
32.94749870640766,21744.62135797469
32.948313096128345,21743.345253749987
32.94854501264752,21737.63494538642
32.949908640368385,21732.188156230815
32.950335624321525,21731.359320410364
32.954458192100276,21728.461899193862
32.95866150660177,21720.26475655476
32.959287532128414,21716.391714151618
32.9658779336034,21707.72351888511
32.967784165467,21700.238519424576
32.96918400245596,21697.51259478044
32.970853619301096,21696.785642633764
32.97502403727919,21687.20251867912
32.97768495807446,21683.59587881739
32.979384791933526,21673.868229145493
32.98436454380608,21670.182588575935
32.989179358782934,21660.16942546129
32.99393920026461,21650.593912143126
32.998339462923326,21621.773370346404
33.005479665922905,21614.90943723165
33.01507267591954,21607.197733491725
33.015962034604016,21604.5457303941
33.017272438188776,21602.62546727919
33.0180022829176,21599.58817831468
33.021457538472156,21584.4130469646
33.02834683837686,21580.538466644335
33.030361253846685,21567.57031755995
33.039543228710116,21557.420713889936
33.04112613810719,21548.439858532944
33.047976764990864,21540.409081705995
33.048939327885805,21534.362262698196
33.052745520944484,21516.96808912655
33.05972472403272,21516.35525737155
33.05973560004342,21516.038778632763
33.06429318535792,21506.871955294708
33.06875452486854,21495.484429888944
33.072331391793796,21490.208793490183
33.072531003931985,21485.618407678037
33.07644995972724,21477.22753366481
33.080317095383144,21473.368736736324
33.08393704231775,21466.69645666298
33.08788407434531,21458.390535866176
33.09271709200567,21446.067252074703
33.094037573455765,21443.087908312325
33.0979940473798,21435.845659149294
33.0998553202335,21433.988944513396
33.10097488179183,21423.2490196341
33.106571872730086,21413.13347170948
33.10890364766547,21411.064486346186
33.110948397588466,21405.038574327482
33.11323859648854,21405.00824725669
33.114139829180665,21404.362438081534
33.11625454954728,21400.197748392024
33.11816214936732,21395.931428931955
33.118815473871976,21393.650130514103
33.12099908160737,21390.350279357743
33.121323570958985,21387.776294501717
33.124551827548764,21381.14220286963
33.12578185588273,21378.513997949285
33.13118046030797,21368.523374363533
33.132470290622116,21360.51186267539
33.132534735381796,21360.13341019053
33.132851828122,21358.284456517893
33.13958606632268,21351.38193585135
33.14231398858374,21344.311460915615
33.14494666397415,21340.94174226351
33.14496320129919,21340.38639144362
33.14764231154047,21334.947786920602
33.152294106429366,21324.424558936284
33.16084522992476,21305.162066981735
33.16317700347931,21302.59558398915
33.163966879754504,21298.89913604463
33.16702270851244,21295.388926436568
33.168263578849874,21292.326352402044
33.16972578484509,21281.074930633775
33.17551033529259,21277.437582940493
33.18142018115873,21260.664931199928
33.18516780977995,21257.225195898744
33.187919413741405,21241.302744352106
33.195705816468454,21235.935515144745
33.19641247485255,21229.13356133556
33.201649112977,21222.482565700186
