crank_angle_rad,total_volume_m3,specific_volume_m3_per_kg,pressure_kpa,temperature_k,specific_internal_energy_kj_per_kg,heat_added_to_next_state_kj_per_kg,work_on_gas_to_next_state_kj_per_kg,polytropic_exponent_to_next_state
0.7679448709,6.387106702e-05,0.1327339542,1801.382384,1265.618365,1068.901391,5.76021243,-3.242588326,0.8673400203
0.7766715171,6.47423579e-05,0.1345446314,1780.336875,1267.895278,1071.419015,5.556766556,-3.229772723,0.8769375245
0.7853981634,6.562049154e-05,0.1363695289,1759.427009,1269.999117,1073.746009,5.350675962,-3.216276682,0.8866823007
0.7941248097,6.650537592e-05,0.1382084554,1738.654069,1271.928267,1075.880408,5.142038735,-3.202118185,0.896579481
0.8028514559,6.739691847e-05,0.1400612187,1718.019165,1273.681174,1077.820328,4.930954177,-3.187314962,0.906634182
0.8115781022,6.829502612e-05,0.1419276253,1697.523254,1275.256345,1079.563968,4.717522752,-3.171884498,0.9168515138
0.8203047484,6.919960528e-05,0.1438074807,1677.167145,1276.652349,1081.109606,4.501846041,-3.155844033,0.9272365873
0.8290313947,7.011056186e-05,0.1457005893,1656.951512,1277.867816,1082.455608,4.284026696,-3.139210571,0.9377945229
0.837758041,7.10278013e-05,0.1476067547,1636.876905,1278.901443,1083.600424,4.064168386,-3.122000879,0.9485304578
0.8464846872,7.195122859e-05,0.1495257794,1616.943759,1279.75199,1084.542591,3.842375752,-3.104231498,0.959449554
0.8552113335,7.288074825e-05,0.151457465,1597.1524,1280.418282,1085.280736,3.618754355,-3.085918744,0.9705570058
0.8639379797,7.381626439e-05,0.1534016122,1577.503059,1280.899211,1085.813571,3.393410627,-3.067078711,0.9818580474
0.872664626,7.475768068e-05,0.1553580208,1557.995873,1281.193737,1086.139903,3.166451819,-3.047727278,0.9933579602
0.8813912723,7.57049004e-05,0.1573264899,1538.630898,1281.300887,1086.258628,2.937985952,-3.027880114,1.005062081
0.8901179185,7.665782646e-05,0.1593068176,1519.408112,1281.219757,1086.168734,2.708121762,-3.007552678,1.016975807
0.8988445648,7.761636136e-05,0.1612988014,1500.327425,1280.949512,1085.869303,2.476968653,-2.986760227,1.029104609
0.907571211,7.858040727e-05,0.1633022379,1481.388682,1280.489385,1085.359511,2.244636642,-2.96551782,1.041454032
0.9162978573,7.954986602e-05,0.1653169231,1462.591668,1279.838683,1084.63863,2.011236304,-2.943840319,1.054029708
0.9250245036,8.05246391e-05,0.1673426523,1443.936116,1278.996781,1083.706026,1.776878728,-2.921742395,1.066837361
0.9337511498,8.15046277e-05,0.1693792201,1425.421712,1277.963125,1082.561162,1.541675453,-2.899238531,1.079882817
0.9424777961,8.248973271e-05,0.1714264206,1407.048094,1276.737233,1081.203599,1.305738424,-2.876343024,1.093172011
0.9512044423,8.347985473e-05,0.1734840473,1388.814865,1275.318695,1079.632995,1.069179935,-2.853069992,1.106710994
0.9599310886,8.447489412e-05,0.175551893,1370.72159,1273.707173,1077.849105,0.8321125734,-2.829433371,1.120505945
