algorithm,display_name,framework,run,seed,evaluations,fixed_cardinality_limit,front_size_before_hv48,front_size_hv48,was_truncated_for_hv48,hypervolume_raw,hypervolume_48,runtime_seconds,hv48_compromise_score,hv48_compromise_thermal_efficiency_percent,hv48_compromise_net_specific_power_kw_per_kg,hv48_compromise_engine_speed_rpm,hv48_compromise_ignition_timing_degrees,hv48_compromise_compression_ratio,hv48_compromise_connecting_rod_to_crank_ratio,is_hv48_representative_run
NSGA-III,NSGA-III,DEAP,9,20270727,4848,48,45,45,False,0.8445146067095651,0.8445146067095651,23.64453250000224,0.3999325514743446,35.725660097260594,14931.275877324,5015.311404746501,-36.05596550442772,11.999930970060126,4.301818646680939,False
NSGA-III,NSGA-III,DEAP,10,20270728,4848,48,48,48,False,0.8454939355234699,0.84549393552347,34.5222806999991,0.39902326165752583,35.69419853178916,15048.496902792976,5059.140427895863,-36.03571981411892,11.999805785492752,4.399820997438518,False
NSGA-III,NSGA-III,DEAP,11,20270729,4848,48,48,48,False,0.8448761945744091,0.8448761945744093,25.5431843999977,0.4002407654731458,35.3612977785213,15913.841314954414,5400.426674822074,-40.212962252684974,11.99947628583438,4.389353357624103,False
NSGA-III,NSGA-III,DEAP,12,20270730,4848,48,48,48,False,0.8454136975833628,0.8454136975833627,22.901540700000623,0.3984512615860001,35.528122797078424,15511.39804616458,5239.139079120767,-37.40644327079764,11.999900167377035,4.399923718281528,False
NSGA-III,NSGA-III,DEAP,13,20270731,4848,48,48,48,False,0.8463495753550252,0.8463495753550252,24.690930999997363,0.3985104215853277,35.55892275192943,15424.104931470363,5205.142474896864,-36.97514701063601,11.999968224027528,4.399981805020788,False
NSGA-III,NSGA-III,DEAP,14,20270732,4848,48,48,48,False,0.8443268960777257,0.8443268960777258,24.513023200001044,0.39925142763142646,35.6580976613559,15129.7248999653,5091.598001772926,-36.011072419961295,11.999924431540288,4.352936632221523,False
NSGA-III,NSGA-III,DEAP,15,20270733,4848,48,47,47,False,0.8452101738087685,0.8452101738087686,23.05257210000127,0.3992355896375562,35.71655884312604,14983.76290844248,5034.22392092834,-35.82131472617489,11.999929667648452,4.3956061776270285,False
NSGA-III,NSGA-III,DEAP,16,20270734,4848,48,48,48,False,0.8450471259658108,0.8450471259658111,26.13655149999977,0.39939170894312087,35.38158203176712,15892.481480956209,5390.086220572245,-38.49731343410538,11.999988018584263,4.351263755067917,False
NSGA-III,NSGA-III,DEAP,17,20270735,4848,48,48,48,False,0.8442667987590016,0.8442667987590017,21.963574999997945,0.3992114722078774,35.72129525505827,14973.149100753986,5029.99087592169,-36.43591736856912,11.999981121776388,4.399890351226016,False
NSGA-III,NSGA-III,DEAP,18,20270736,4848,48,46,46,False,0.8432544931370924,0.8432544931370926,23.99270069999693,0.3986747740851552,35.62613315979947,15237.670850698898,5132.525873302383,-36.78455410992859,11.998891203304966,4.395600547819186,False
NSGA-III,NSGA-III,DEAP,19,20270737,4848,48,47,47,False,0.843309351040691,0.8433093510406916,25.277215800000704,0.4004995354257106,35.61654512544936,15181.813272713356,5115.0879073440665,-38.50822624286283,11.99924448392837,4.360283531583491,False
