algorithm,framework,run,seed,solution,engine_speed_rpm,ignition_timing_degrees,compression_ratio,connecting_rod_to_crank_ratio,thermal_efficiency_percent,net_specific_power_kw_per_kg,compromise_score,is_run_compromise
NSGA-III,DEAP,1,20270719,5,2081.108671050397,-15.156021424291211,11.999864705256892,4.399548239376852,37.91609851511756,6575.626782684353,0.5624382404448915,False
NSGA-III,DEAP,1,20270719,6,2333.241049542782,-16.990229337075363,11.999957865040452,4.39840166202938,37.78159444935343,7346.130590534095,0.5410205965012337,False
NSGA-III,DEAP,1,20270719,7,2643.483295524776,-18.612091757002332,11.999957865040452,4.398498387229162,37.59665465569399,8282.177379161738,0.5158346264159647,False
NSGA-III,DEAP,1,20270719,8,2659.125267019233,-22.446973984196845,11.943458549010476,4.398498387229162,37.431849178597425,8294.66466183846,0.5179222825980143,False
NSGA-III,DEAP,1,20270719,9,2932.001783908272,-24.15836771636549,11.988299921536127,4.398373580831983,37.31646946207163,9117.662919329381,0.49612126781071103,False
NSGA-III,DEAP,1,20270719,10,3299.1108175644913,-24.262780337317736,11.999844412058705,4.398367854287309,37.15676091300382,10215.35598947903,0.46792480084927834,False
NSGA-III,DEAP,1,20270719,11,3344.3351036379286,-24.56918987047483,11.999998013300727,4.398987336822348,37.12418921802792,10346.310766328957,0.4649446471493876,False
NSGA-III,DEAP,1,20270719,12,3546.2740878682357,-24.56918987047483,11.999848669804388,4.3993117784158455,36.965767919068035,10924.228742461824,0.4525827158852389,False
NSGA-III,DEAP,1,20270719,13,3794.142039782969,-30.66371487896238,11.999938409076197,4.395791229632422,36.6867320828258,11599.556041475329,0.44216908784196873,False
NSGA-III,DEAP,1,20270719,14,3937.855719723643,-28.8391913975463,11.999603006981395,4.390615024259887,36.66549378001061,12031.952033175536,0.43102982228903786,False
NSGA-III,DEAP,1,20270719,15,4231.105550912862,-31.872214888013048,11.999708747506933,4.389295044730607,36.408748179402416,12837.438043638174,0.4189420553036851,False
NSGA-III,DEAP,1,20270719,16,4438.365297008304,-31.872214888013048,11.999708747506933,4.399030508347145,36.24874476068633,13407.097567161814,0.410853491234331,False
