configuration_id,run,seed,generation,evaluations,hypervolume
C01,2,31000002,14,180,0.807631803395574
C01,2,31000002,15,192,0.8081377607268649
C01,2,31000002,16,204,0.8119797543032429
C01,2,31000002,17,216,0.823328011920787
C01,2,31000002,18,228,0.8236971049691394
C01,2,31000002,19,240,0.8265756234914953
C01,2,31000002,20,252,0.8263369059557963
C01,2,31000002,21,264,0.8255570367583285
C01,2,31000002,22,276,0.8249474370022329
C01,2,31000002,23,288,0.8264758327884145
C01,2,31000002,24,300,0.8300808559225753
C01,2,31000002,25,312,0.8305902091170912
C01,2,31000002,26,324,0.8298743297087217
C01,2,31000002,27,336,0.8300172372637861
C01,2,31000002,28,348,0.8304090147192754
C01,2,31000002,29,360,0.8293157801142467
C01,2,31000002,30,372,0.8289269753825563
C01,2,31000002,31,384,0.8290700176123961
C01,2,31000002,32,396,0.8290873182126691
C01,2,31000002,33,408,0.8295515284741556
C01,2,31000002,34,420,0.8297723301871215
C01,2,31000002,35,432,0.829871531850136
C01,2,31000002,36,444,0.8298144095010674
C01,2,31000002,37,456,0.8301001327754777
C01,2,31000002,38,468,0.8301877975032604
C01,2,31000002,39,480,0.8301347330240424
C01,2,31000002,40,492,0.8303833885990869
C01,2,31000002,41,504,0.8303877543042033
C01,3,31000003,0,12,0.6323978945929621
C01,3,31000003,1,24,0.6431229912571489
C01,3,31000003,2,36,0.6902882957797523
C01,3,31000003,3,48,0.7096234681359088
C01,3,31000003,4,60,0.7098026303730829
C01,3,31000003,5,72,0.7270419360581672
C01,3,31000003,6,84,0.7275930177826382
C01,3,31000003,7,96,0.7366687995267795
C01,3,31000003,8,108,0.74066813500783
C01,3,31000003,9,120,0.757555922515806
C01,3,31000003,10,132,0.7573010846110715
C01,3,31000003,11,144,0.7624445734351974
C01,3,31000003,12,156,0.7624919938288133
C01,3,31000003,13,168,0.7598870943902944
C01,3,31000003,14,180,0.7611597917645827
C01,3,31000003,15,192,0.7611837524438807
C01,3,31000003,16,204,0.7611837524438807
C01,3,31000003,17,216,0.7803013795983973
C01,3,31000003,18,228,0.7821498704425648
C01,3,31000003,19,240,0.7900077855186082
C01,3,31000003,20,252,0.7899625621532624
C01,3,31000003,21,264,0.7893489434341925
C01,3,31000003,22,276,0.7893401134607487
C01,3,31000003,23,288,0.7895799518964713
C01,3,31000003,24,300,0.7924309668456403
C01,3,31000003,25,312,0.7952136111995101
C01,3,31000003,26,324,0.7952075552667789
C01,3,31000003,27,336,0.7950402621974239
C01,3,31000003,28,348,0.7954051791290322
C01,3,31000003,29,360,0.7964957876227738
C01,3,31000003,30,372,0.7950769246795237
C01,3,31000003,31,384,0.792811298003842
C01,3,31000003,32,396,0.7928483072819292
C01,3,31000003,33,408,0.8029367265142937
C01,3,31000003,34,420,0.8001027748467568
C01,3,31000003,35,432,0.8000082928815808
C01,3,31000003,36,444,0.7996471582501871
C01,3,31000003,37,456,0.7992107788884569
C01,3,31000003,38,468,0.7991499026642653
C01,3,31000003,39,480,0.800496150674061
C01,3,31000003,40,492,0.8061139227293893
C01,3,31000003,41,504,0.8058948031682878
C01,4,31000004,0,12,0.6891514436042042
C01,4,31000004,1,24,0.6966456280292549
C01,4,31000004,2,36,0.713787646902439
C01,4,31000004,3,48,0.7193926116354672
C01,4,31000004,4,60,0.726849605802296
C01,4,31000004,5,72,0.7290575737492706
C01,4,31000004,6,84,0.7374152343978375
C01,4,31000004,7,96,0.7440053869824651
C01,4,31000004,8,108,0.764584159306071
C01,4,31000004,9,120,0.7644124266193797
C01,4,31000004,10,132,0.7650986151315406
C01,4,31000004,11,144,0.7696332892200721
C01,4,31000004,12,156,0.7828702679221847
C01,4,31000004,13,168,0.8201423116826929
C01,4,31000004,14,180,0.8224341735336225
C01,4,31000004,15,192,0.8235393183299503
C01,4,31000004,16,204,0.8215137287708212
C01,4,31000004,17,216,0.8213656957139974
C01,4,31000004,18,228,0.8213656957139974
C01,4,31000004,19,240,0.8206371888193094
C01,4,31000004,20,252,0.8204601237659505
C01,4,31000004,21,264,0.8209738474642424
C01,4,31000004,22,276,0.823097514070909
C01,4,31000004,23,288,0.8259191085340969
C01,4,31000004,24,300,0.8242740441392779
C01,4,31000004,25,312,0.8266971537542841
C01,4,31000004,26,324,0.8266971537542841
C01,4,31000004,27,336,0.8271428823477377
C01,4,31000004,28,348,0.8268228696908396
C01,4,31000004,29,360,0.8272979628566681
C01,4,31000004,30,372,0.8266548707425655
C01,4,31000004,31,384,0.829530173116195
C01,4,31000004,32,396,0.8291071322789445
C01,4,31000004,33,408,0.8272592455742676
C01,4,31000004,34,420,0.8272270500312942
C01,4,31000004,35,432,0.831343500918711
C01,4,31000004,36,444,0.8334815218519691
C01,4,31000004,37,456,0.8336614979224206
C01,4,31000004,38,468,0.8357158748748893
C01,4,31000004,39,480,0.8356561720230937
C01,4,31000004,40,492,0.8357290076546705
C01,4,31000004,41,504,0.8361660740278234
C01,5,31000005,0,12,0.6868248918029027
C01,5,31000005,1,24,0.7537715973578708
C01,5,31000005,2,36,0.8057161832629611
C01,5,31000005,3,48,0.8129662201933278
C01,5,31000005,4,60,0.8132448761778912
C01,5,31000005,5,72,0.8141901581355072
C01,5,31000005,6,84,0.8141532776254128
C01,5,31000005,7,96,0.8169584452284187
C01,5,31000005,8,108,0.8176053377231288
C01,5,31000005,9,120,0.8162753204408759
C01,5,31000005,10,132,0.8164096838883369
C01,5,31000005,11,144,0.8169247195931306
C01,5,31000005,12,156,0.819971812511852
C01,5,31000005,13,168,0.8219989669069285
C01,5,31000005,14,180,0.8222588871393182
C01,5,31000005,15,192,0.8226815435142646
C01,5,31000005,16,204,0.8227916261652538
C01,5,31000005,17,216,0.8224899164717249
C01,5,31000005,18,228,0.822675396523722
C01,5,31000005,19,240,0.822844582176062
C01,5,31000005,20,252,0.8228711183413002
C01,5,31000005,21,264,0.8231409156016919
C01,5,31000005,22,276,0.8233288245229553
C01,5,31000005,23,288,0.8235873585585809
