configuration_id,population_size,generations,crossover_probability,crossover_eta,mutation_eta,mutation_probability_per_variable,reference_partitions,nominal_evaluations,stage,is_baseline,is_confirmed,run,seed,evaluations,front_size,hypervolume,igd_plus,spacing,runtime_seconds,maximum_efficiency_percent,maximum_power_kw_per_kg,compromise_engine_speed_rpm,compromise_ignition_timing_degrees,compromise_efficiency_percent,compromise_power_kw_per_kg,compromise_score
C09,56,8,1.0,30.0,10.0,1.0,55,504,confirmation,False,True,10,31000010,504,56,0.8489861120546153,0.0027506972552251876,0.01385688576388554,9.07015180028975,38.4042971962898,25658.802497909623,4943.380894804982,-35.890659327882275,35.849801290045335,14768.268564980426,0.4001683152328922
C09,56,8,1.0,30.0,10.0,1.0,55,504,confirmation,False,True,11,31000011,504,56,0.8454471303447392,0.002582916288696543,0.012707976273962814,7.768942199647427,38.42599127330081,25529.46139188327,5346.194729853109,-38.172311443512655,35.483526277209656,15808.486764985213,0.39866424942969964
C09,56,8,1.0,30.0,10.0,1.0,55,504,confirmation,False,True,12,31000012,504,56,0.8490514725477059,0.0031239374813650136,0.011444775031456139,8.271777199581265,38.319138280019146,25664.708269546718,5422.051825545244,-36.874232760406386,35.3839340700545,15987.79369329263,0.40131057216224036
C09,56,8,1.0,30.0,10.0,1.0,55,504,confirmation,False,True,13,31000013,504,56,0.848476359117325,0.0031007347640516453,0.007740681533943022,8.275322999805212,38.41462330725046,25646.711493957853,5128.609719211698,-36.46640425432108,35.68241213128575,15250.097138452458,0.3986872441600948
C09,56,8,1.0,30.0,10.0,1.0,55,504,confirmation,False,True,14,31000014,504,56,0.8494132454381016,0.0024578134912095107,0.012555399224573955,8.783464599400759,38.41041644303965,25666.43787416612,5032.941040668274,-37.13757546553124,35.76350195039607,14999.633060347349,0.399660199697019
C09,56,8,1.0,30.0,10.0,1.0,55,504,confirmation,False,True,15,31000015,504,56,0.8467453968303921,0.0031272584222444425,0.011595857150422826,8.59612499922514,38.30143877720037,25600.852407393875,5023.546439038586,-34.496447998666994,35.75942491630136,14969.927641696117,0.400579371176605
C09,56,8,1.0,30.0,10.0,1.0,55,504,confirmation,False,True,16,31000016,504,56,0.8467156039857779,0.0030569929173157318,0.016055510794848075,8.368202399462461,38.41655471428426,25585.91580005357,5265.333718112227,-39.37750104752887,35.541468291783616,15594.80761566207,0.39962196986650583
C09,56,8,1.0,30.0,10.0,1.0,55,504,confirmation,False,True,17,31000017,504,56,0.8480915330790627,0.0029159171817969495,0.014607390155471658,8.324008600786328,38.41906495459162,25622.394668922345,5151.553504800976,-37.2089544028494,35.662398835371306,15309.729642497276,0.39853848243082435
C09,56,8,1.0,30.0,10.0,1.0,55,504,confirmation,False,True,18,31000018,504,56,0.8465390228895734,0.002666674451634964,0.013532543696288906,8.298274900764227,38.3630767274631,25559.451792866257,5196.2336273619285,-36.594945673709205,35.61788166891493,15423.236205284482,0.39869052042570424
C09,56,8,1.0,30.0,10.0,1.0,55,504,confirmation,False,True,19,31000019,504,56,0.8454480886279878,0.003423888472386813,0.018062075700961987,9.338297098875046,38.42500007128456,25590.66808834561,5232.485392005883,-39.06289873444163,35.57331722904653,15511.405228848098,0.39947198885211416
C09,56,8,1.0,30.0,10.0,1.0,55,504,confirmation,False,True,20,31000020,504,56,0.8488068205559688,0.0027436012348316294,0.009615927666119609,8.550327399745584,38.408849715538075,25645.178277635932,5194.587070160685,-35.697125011079834,35.60429534127953,15412.467685166079,0.39975594218737376
C09,56,8,1.0,30.0,10.0,1.0,55,504,confirmation,False,True,21,31000021,504,56,0.8474378486020611,0.002655105100492192,0.010113100779042155,8.46975520066917,38.37407310093698,25609.028798990366,5084.308007873409,-37.66901773029396,35.714577233480924,15131.992585500037,0.3994672501627731
C10,36,13,0.9,20.0,10.0,0.5,35,504,screening,False,False,1,31000001,504,35,0.8421946360086241,0.0043537663506659175,0.011996322831825557,9.63512639887631,37.5052802616126,25596.180212416395,5210.057824963695,-38.13924747302123,35.605679321269804,15458.970680077478,0.39864230499968534
C10,36,13,0.9,20.0,10.0,0.5,35,504,screening,False,False,2,31000002,504,33,0.8448264499308693,0.004123625148144622,0.02976698825560601,9.19298430159688,38.42882468531454,25575.53078780188,5369.698737037547,-39.416231630992684,35.45709871779551,15866.161516996846,0.3991264680912444
