algorithm,framework,run,seed,evaluations,front_size,hypervolume,runtime_seconds,compromise_engine_speed_rpm,compromise_ignition_timing_degrees,compromise_compression_ratio,compromise_connecting_rod_to_crank_ratio,compromise_thermal_efficiency_percent,compromise_net_specific_power_kw_per_kg,compromise_score
NSGA-II,DEAP,10,20260728,4848,47,0.8458895385948183,31.111568099997385,5353.101193574864,-39.43659219322704,11.999945253307502,4.398704089185746,35.41475171153883,15798.229138099665,0.3992822353638372
MOPSO,PySwarm + Pareto repository,11,20280729,4848,192,0.84713872090452,26.64359719999993,5099.447715272104,-38.026069877945204,12.0,4.3344348789308835,35.637506073294475,15144.299910288102,0.4001200054104016
MOEA/D,pymoo,11,20290729,4848,48,0.8314397590973038,143.34983159999683,5182.3733622478285,-36.20363447743277,11.999986577519794,4.399935110988075,35.57361461198973,15362.97939700381,0.3989852688692851
NSGA-II,DEAP,11,20260729,4848,47,0.8460614402921557,25.007317100000364,5459.72068763802,-38.258958932172945,11.99992502244443,4.398221541381868,35.31490528411844,16067.459913473225,0.40003918835526003
NSGA-III,DEAP,11,20270729,4848,48,0.8448761945744091,25.5431843999977,5400.426674822074,-40.212962252684974,11.99947628583438,4.389353357624103,35.3612977785213,15913.841314954414,0.4002407654731458
MOEA/D,pymoo,12,20290730,4848,45,0.8351902574683646,142.85304650000035,4898.7823948334835,-35.04345556643992,11.999974318535479,4.399430655848167,35.84112439125677,14631.489098243797,0.40057530074132847
NSGA-II,DEAP,12,20260730,4848,46,0.8460134381158685,25.757365800000116,5063.588205415337,-36.231645218914764,11.999881332630935,4.399937422755302,35.69077966138569,15060.284244622515,0.3989491830023899
NSGA-III,DEAP,12,20270730,4848,48,0.8454136975833628,22.901540700000623,5239.139079120767,-37.40644327079764,11.999900167377035,4.399923718281528,35.528122797078424,15511.39804616458,0.3984512615860001
MOPSO,PySwarm + Pareto repository,12,20280730,4848,192,0.8453024259252984,23.413640800001303,5052.934974292743,-36.045976009898595,11.994336217904149,4.076023314216339,35.661821329479906,15016.405353559001,0.4016215886138421
NSGA-II,DEAP,13,20260731,4848,47,0.8462593667344743,23.934805400000187,5081.330087442355,-37.103944747786,11.998404808519894,4.394240588250801,35.67035922786486,15104.405797868894,0.39911746333987747
NSGA-III,DEAP,13,20270731,4848,48,0.8463495753550252,24.690930999997363,5205.142474896864,-36.97514701063601,11.999968224027528,4.399981805020788,35.55892275192943,15424.104931470363,0.3985104215853277
MOPSO,PySwarm + Pareto repository,13,20280731,4848,192,0.845175708723903,22.985016300001007,5102.661772673235,-36.53129484022607,11.996127531502754,4.1268397000532975,35.62321262764227,15147.767107906722,0.40087776002440767
MOEA/D,pymoo,13,20290731,4848,47,0.8380696069447716,140.55703630000062,5146.711809498225,-37.04627029475793,11.999065481941747,4.3716442604373045,35.610793370341774,15273.207565394929,0.3987798835159169
NSGA-III,DEAP,14,20270732,4848,48,0.8443268960777257,24.513023200001044,5091.598001772926,-36.011072419961295,11.999924431540288,4.352936632221523,35.6580976613559,15129.7248999653,0.39925142763142646
MOPSO,PySwarm + Pareto repository,14,20280732,4848,192,0.8442871041867742,22.38994929999899,5319.8244777483615,-38.80950043961256,11.980744940123857,4.283283077649769,35.4224975356297,15703.455787751991,0.4008193133449001
MOEA/D,pymoo,14,20290732,4848,48,0.8401909305291655,140.14355490000162,5145.569978589839,-37.74064332706952,11.998956176065695,4.312214656474911,35.60140754920532,15265.79449006105,0.399502215100627
NSGA-II,DEAP,14,20260732,4848,47,0.8458730191258099,22.192293600000994,5277.642623058473,-39.02285076466755,11.999691042837007,4.39984089327522,35.483495103447574,15605.767181086794,0.3991277651067851
MOPSO,PySwarm + Pareto repository,15,20280733,4848,192,0.8453828566141517,22.243979000002582,5115.622951902971,-37.26853197549259,11.989205887496142,4.151017068067191,35.606397229940995,15179.075242005045,0.40115857468876503
MOEA/D,pymoo,15,20290733,4848,48,0.8441839955514209,135.59826020000037,5198.7306057150745,-37.12347026973836,11.999889477890223,4.378429469022971,35.56354681874692,15407.108274533382,0.39860881013764066
NSGA-II,DEAP,15,20260733,4848,47,0.8460236487967544,23.02301499999885,5065.936989245787,-37.42140724576052,11.999924601640716,4.397823291457284,35.681073350764244,15063.17244196906,0.39944148007845726
NSGA-III,DEAP,15,20270733,4848,47,0.8452101738087685,23.05257210000127,5034.22392092834,-35.82131472617489,11.999929667648452,4.3956061776270285,35.71655884312604,14983.762908442479,0.3992355896375563
MOEA/D,pymoo,16,20290734,4848,48,0.8441838697548265,137.28400479999982,5319.8694864906965,-38.69954268969528,11.999929102604742,4.394498690468446,35.45077952001915,15716.12668673826,0.39877504051501994
NSGA-II,DEAP,16,20260734,4848,48,0.8461325291197722,21.441038400000252,5463.958402202342,-40.11089327934917,11.999961548828306,4.399268814067476,35.31176276866993,16078.500239704157,0.4000159026574436
NSGA-III,DEAP,16,20270734,4848,48,0.8450471259658108,26.13655149999977,5390.086220572245,-38.49731343410538,11.999988018584265,4.351263755067917,35.38158203176712,15892.481480956207,0.399391708943121
MOPSO,PySwarm + Pareto repository,16,20280734,4848,192,0.8456852683057566,25.486947299999883,5042.569566396489,-35.83690704619865,11.983198187674112,4.202391303212245,35.675348848870044,14991.285697990837,0.40141827882167946
NSGA-II,DEAP,17,20260735,4848,47,0.8460435272359561,23.854394400001183,5074.344698735717,-37.39042655858154,11.999995091457395,4.390196005122564,35.673953415256776,15085.16136630443,0.399349185684941
NSGA-III,DEAP,17,20270735,4848,48,0.8442667987590016,21.963574999997945,5029.99087592169,-36.43591736856912,11.999981121776388,4.399890351226016,35.72129525505827,14973.149100753986,0.3992114722078774
MOPSO,PySwarm + Pareto repository,17,20280735,4848,192,0.8461266196066245,21.92144090000147,5229.014130748174,-38.14851144313131,11.96288334086065,4.372508650824322,35.50249031527582,15470.251961277285,0.40091900438713024
MOEA/D,pymoo,17,20290735,4848,47,0.830987145243809,143.15772930000094,5230.635684129934,-39.20151881413142,11.999995352095134,4.394246981215054,35.51685075767355,15481.308913417044,0.3997996185277319
NSGA-III,DEAP,18,20270736,4848,46,0.8432544931370924,23.99270069999693,5132.525873302383,-36.78455410992859,11.998891203304966,4.395600547819186,35.62613315979947,15237.670850698898,0.3986747740851552
MOPSO,PySwarm + Pareto repository,18,20280736,4848,192,0.8463513625690892,22.365606199997274,5194.395972200206,-37.53422219618926,11.98891484132289,4.052834052455979,35.52292944402634,15376.680135400211,0.40173488743360414
MOEA/D,pymoo,18,20290736,4848,48,0.8434247194288066,137.88155639999968,5136.547581038245,-36.97259626966408,11.999991781070644,4.39884733026968,35.62367917641189,15248.560258440086,0.39857374298516945
NSGA-II,DEAP,18,20260736,4848,45,0.8457801387555741,21.926493899998604,5358.866775103755,-38.4379159537703,11.999687708940272,4.3906632600590765,35.415259043988186,15815.471251876757,0.398882948592128
MOPSO,PySwarm + Pareto repository,19,20280737,4848,192,0.846267280748753,22.30826050000178,5220.391975822835,-37.05060024674525,11.985285403173808,4.169580371983289,35.50795655746871,15447.120957539624,0.4010930450842582
MOEA/D,pymoo,19,20290737,4848,48,0.8443295838063662,137.41989369999646,5232.0202568071345,-38.79475082472344,11.999985915062563,4.399996776378435,35.52467225420912,15488.817070871375,0.39915787614723935
NSGA-II,DEAP,19,20260737,4848,47,0.8460706997981989,24.43763189999663,5080.177771988108,-37.84537590126003,11.999722573128583,4.39946730622905,35.66238791594484,15097.605865550027,0.39973425223412706
NSGA-III,DEAP,19,20270737,4848,47,0.843309351040691,25.277215800000704,5115.0879073440665,-38.50822624286283,11.99924448392837,4.360283531583491,35.61654512544936,15181.813272713356,0.4004995354257106
MOEA/D,pymoo,20,20290738,4848,48,0.84398383333693,134.96952709999823,5050.526404965789,-36.46125657011123,11.999948832323865,4.39406779446564,35.7022679981421,15026.27060348181,0.3990715333949875
NSGA-II,DEAP,20,20260738,4848,48,0.8456975296809716,21.92701329999909,5078.074230574045,-38.180032853417444,11.999967661034988,4.2512667842349074,35.641637719845505,15082.57350338361,0.40128133845413105
NSGA-III,DEAP,20,20270738,4848,48,0.8448418387148673,23.549113600001874,5570.277739776939,-39.23050749039763,11.997419178081243,4.39514816240586,35.20977438378384,16344.01853937995,0.4013675529362663
MOPSO,PySwarm + Pareto repository,20,20280738,4848,192,0.8456407939325792,22.050954599999386,5326.167766422872,-38.23029667340843,11.980177211468142,4.191069683716716,35.408317778160004,15715.886734441146,0.40144516097014205
NSGA-II,DEAP,21,20260739,4848,44,0.8457973928956558,21.655727000001207,5224.153606923643,-38.616035535437376,11.999748684440155,4.399889073216849,35.53382373226397,15469.512784891314,0.3990260547057861
NSGA-III,DEAP,21,20270739,4848,48,0.8452023270347188,23.284183600000688,5206.15908811847,-37.723207558332604,11.9998993381049,4.3997724971253,35.558448566508915,15426.911680326964,0.39847681917569455
MOPSO,PySwarm + Pareto repository,21,20280739,4848,192,0.8464769844584927,22.1558045999991,5089.404081371257,-36.283655911521834,12.0,4.233278528009685,35.64974478613493,15119.663051199901,0.39996606629802517
MOEA/D,pymoo,21,20290739,4848,47,0.8442735238824987,136.23321569999825,5320.2902879383455,-37.16871095117396,11.999992727639764,4.3978598632408135,35.4447368544374,15714.690770432808,0.3991839337456794
