algorithm,framework,run,seed,solution,engine_speed_rpm,ignition_timing_degrees,compression_ratio,connecting_rod_to_crank_ratio,thermal_efficiency_percent,net_specific_power_kw_per_kg,compromise_score,is_run_compromise,front_size_before_hv48,fixed_cardinality_limit,hv48_solution,scaled_minimization_efficiency,scaled_minimization_power,hv48_compromise_score,is_hv48_run_compromise
MOPSO,PySwarm + Pareto repository,4,20280722,66,4528.176930796662,-32.58440344585338,11.956678741089354,3.916600832289443,36.08967160133311,13618.368198765336,0.4127817478298436,False,192,48,19,-0.9022417900333277,-0.5043840073616791,0.4127817478298436,False
MOPSO,PySwarm + Pareto repository,4,20280722,69,4666.933251625317,-34.355480687901874,11.98572928210182,4.134628405638032,36.00798427424915,14003.904927791238,0.4071292461315372,False,192,48,20,-0.9001996068562287,-0.5186631454737496,0.4071292461315372,False
MOPSO,PySwarm + Pareto repository,4,20280722,72,4818.856513159083,-34.8527172040379,11.982077302173453,3.940996602349188,35.85202780606366,14397.148141934202,0.4055849363087304,False,192,48,21,-0.8963006951515915,-0.533227708960526,0.40558493630873044,False
MOPSO,PySwarm + Pareto repository,4,20280722,78,5040.607500470792,-35.52915226738773,11.987285409927413,4.04589118360482,35.66093372104572,14979.3974990079,0.4025197881558044,False,192,48,22,-0.8915233430261431,-0.5547924999632555,0.402519788155804,False
MOPSO,PySwarm + Pareto repository,4,20280722,83,5311.568643070884,-38.70829500929466,11.970231965303642,4.19382264900356,35.4120639971144,15674.467392791015,0.4020957291103578,True,192,48,23,-0.8853015999278601,-0.5805358293626302,0.4020957291103579,True
MOPSO,PySwarm + Pareto repository,4,20280722,87,5487.699734202019,-37.48938155859628,11.98064119079797,4.212738940624608,35.23268283791339,16112.19868707011,0.4045199992594357,False,192,48,24,-0.8808170709478347,-0.5967480995211152,0.40451999925943577,False
MOPSO,PySwarm + Pareto repository,4,20280722,92,5656.07204140369,-41.48191699155801,11.975001523700335,3.906036102333247,35.04592477972706,16518.522942645915,0.4091142429363343,False,192,48,25,-0.8761481194931765,-0.6117971460239228,0.4091142429363343,False
MOPSO,PySwarm + Pareto repository,4,20280722,97,5904.300077026055,-43.55098907551111,11.987052482194642,4.122361145843546,34.83898762081788,17141.653107758735,0.4122727448049669,False,192,48,26,-0.8709746905204471,-0.6348760410281014,0.41227274480496695,False
MOPSO,PySwarm + Pareto repository,4,20280722,102,6070.019332946314,-44.64956825337535,11.990536321820317,3.9203121011606425,34.64983557498183,17527.097651962555,0.4196507852166842,False,192,48,27,-0.8662458893745457,-0.649151764887502,0.4196507852166842,False
MOPSO,PySwarm + Pareto repository,4,20280722,106,6216.423466675313,-45.32799904206034,11.966903771043729,4.133890787975245,34.52260002779158,17883.92507861745,0.4235600764737062,False,192,48,28,-0.8630650006947895,-0.66236759550435,0.42356007647370625,False
